id,fish,year,biomass,F
2702,Pacific chub mackerel Pacific Coast,1963,0.311,NA
2703,Pacific chub mackerel Pacific Coast,1964,0.24,NA
2704,Pacific chub mackerel Pacific Coast,1965,0.151,NA
2705,Pacific chub mackerel Pacific Coast,1966,0.108,NA
2706,Pacific chub mackerel Pacific Coast,1967,0.0875,NA
2707,Pacific chub mackerel Pacific Coast,1968,0.102,NA
2708,Pacific chub mackerel Pacific Coast,1969,0.156,NA
2709,Pacific chub mackerel Pacific Coast,1970,0.24,NA
2710,Pacific chub mackerel Pacific Coast,1971,0.321,NA
2711,Pacific chub mackerel Pacific Coast,1972,0.356,NA
2712,Pacific chub mackerel Pacific Coast,1973,0.386,NA
2713,Pacific chub mackerel Pacific Coast,1974,0.433,NA
2714,Pacific chub mackerel Pacific Coast,1975,0.551,NA
2715,Pacific chub mackerel Pacific Coast,1976,0.751,NA
2716,Pacific chub mackerel Pacific Coast,1977,1.14,NA
2717,Pacific chub mackerel Pacific Coast,1978,1.99,NA
2718,Pacific chub mackerel Pacific Coast,1979,3,NA
2719,Pacific chub mackerel Pacific Coast,1980,3.57,NA
2720,Pacific chub mackerel Pacific Coast,1981,4.46,NA
2721,Pacific chub mackerel Pacific Coast,1982,5,NA
2722,Pacific chub mackerel Pacific Coast,1983,4.83,NA
2723,Pacific chub mackerel Pacific Coast,1984,4.68,NA
2724,Pacific chub mackerel Pacific Coast,1985,4.03,NA
2725,Pacific chub mackerel Pacific Coast,1986,3.43,NA
2726,Pacific chub mackerel Pacific Coast,1987,2.83,NA
2727,Pacific chub mackerel Pacific Coast,1988,2.43,NA
2728,Pacific chub mackerel Pacific Coast,1989,1.94,NA
2729,Pacific chub mackerel Pacific Coast,1990,1.73,NA
2730,Pacific chub mackerel Pacific Coast,1991,1.39,NA
2731,Pacific chub mackerel Pacific Coast,1992,1.04,NA
2732,Pacific chub mackerel Pacific Coast,1993,0.901,NA
2733,Pacific chub mackerel Pacific Coast,1994,0.753,NA
2734,Pacific chub mackerel Pacific Coast,1995,0.853,NA
2735,Pacific chub mackerel Pacific Coast,1996,0.955,NA
2736,Pacific chub mackerel Pacific Coast,1997,1.03,NA
2737,Pacific chub mackerel Pacific Coast,1998,0.84,NA
2738,Pacific chub mackerel Pacific Coast,1999,0.57,NA
2739,Pacific chub mackerel Pacific Coast,2000,0.444,NA
2740,Pacific chub mackerel Pacific Coast,2001,0.267,NA
2741,Pacific chub mackerel Pacific Coast,2002,0.223,NA
2742,Pacific chub mackerel Pacific Coast,2003,0.259,NA
2743,Pacific chub mackerel Pacific Coast,2004,0.262,NA
2744,Pacific chub mackerel Pacific Coast,2005,0.24,NA
2745,Pacific chub mackerel Pacific Coast,2006,0.328,NA
2746,Pacific chub mackerel Pacific Coast,2007,0.463,NA
2747,Pacific chub mackerel Pacific Coast,2008,0.68,NA
2748,Pacific cod Hecate Strait,1956,1.6,0.254
2749,Pacific cod Hecate Strait,1957,2.18,0.326
2750,Pacific cod Hecate Strait,1958,2.87,0.247
2751,Pacific cod Hecate Strait,1959,2.66,0.199
2752,Pacific cod Hecate Strait,1960,2.14,0.189
2753,Pacific cod Hecate Strait,1961,1.79,0.173
2754,Pacific cod Hecate Strait,1962,2.02,0.172
2755,Pacific cod Hecate Strait,1963,3.07,0.127
2756,Pacific cod Hecate Strait,1964,5.59,0.176
2757,Pacific cod Hecate Strait,1965,6.03,0.263
2758,Pacific cod Hecate Strait,1966,4.84,0.268
2759,Pacific cod Hecate Strait,1967,3.63,0.234
2760,Pacific cod Hecate Strait,1968,2.62,0.334
2761,Pacific cod Hecate Strait,1969,1.74,0.218
2762,Pacific cod Hecate Strait,1970,1.32,0.192
2763,Pacific cod Hecate Strait,1971,1.26,0.185
2764,Pacific cod Hecate Strait,1972,3.02,0.142
2765,Pacific cod Hecate Strait,1973,4.6,0.124
2766,Pacific cod Hecate Strait,1974,4.85,0.142
2767,Pacific cod Hecate Strait,1975,3.99,0.213
2768,Pacific cod Hecate Strait,1976,2.98,0.266
2769,Pacific cod Hecate Strait,1977,2.38,0.262
2770,Pacific cod Hecate Strait,1978,2.05,0.23
2771,Pacific cod Hecate Strait,1979,2.7,0.312
2772,Pacific cod Hecate Strait,1980,2.4,0.287
2773,Pacific cod Hecate Strait,1981,2.26,0.228
2774,Pacific cod Hecate Strait,1982,2.34,0.152
2775,Pacific cod Hecate Strait,1983,2.07,0.155
2776,Pacific cod Hecate Strait,1984,1.75,0.163
2777,Pacific cod Hecate Strait,1985,1.36,0.152
2778,Pacific cod Hecate Strait,1986,4.05,0.133
2779,Pacific cod Hecate Strait,1987,5.37,0.217
2780,Pacific cod Hecate Strait,1988,4.35,0.229
2781,Pacific cod Hecate Strait,1989,3.04,0.234
2782,Pacific cod Hecate Strait,1990,2.53,0.243
2783,Pacific cod Hecate Strait,1991,2.87,0.445
2784,Pacific cod Hecate Strait,1992,2.2,0.371
2785,Pacific cod Hecate Strait,1993,1.6,0.408
2786,Pacific cod Hecate Strait,1994,0.98,0.229
2787,Pacific cod Hecate Strait,1995,0.762,0.247
2788,Pacific cod Hecate Strait,1996,0.932,0.204
2789,Pacific cod Hecate Strait,1997,0.944,0.15
2790,Pacific cod Hecate Strait,1998,0.83,0.141
2791,Pacific cod Hecate Strait,1999,0.69,0.187
2792,Pacific cod Hecate Strait,2000,0.512,0.127
2793,Pacific cod Hecate Strait,2001,0.417,0.125
2794,Pacific cod Hecate Strait,2002,0.476,0.0973
2795,Pacific cod Hecate Strait,2003,0.831,0.0775
2798,Pacific cod West Coast of Vancouver Island,1956,1.89,0.23
2799,Pacific cod West Coast of Vancouver Island,1957,1.54,0.183
2800,Pacific cod West Coast of Vancouver Island,1958,1.37,0.097
2801,Pacific cod West Coast of Vancouver Island,1959,1.27,0.139
2802,Pacific cod West Coast of Vancouver Island,1960,1.1,0.19
2803,Pacific cod West Coast of Vancouver Island,1961,0.979,0.161
2804,Pacific cod West Coast of Vancouver Island,1962,1.11,0.181
2805,Pacific cod West Coast of Vancouver Island,1963,1.9,0.112
2806,Pacific cod West Coast of Vancouver Island,1964,2.25,0.122
2807,Pacific cod West Coast of Vancouver Island,1965,2.26,0.291
2808,Pacific cod West Coast of Vancouver Island,1966,1.96,0.204
2809,Pacific cod West Coast of Vancouver Island,1967,1.71,0.252
2810,Pacific cod West Coast of Vancouver Island,1968,1.39,0.265
2811,Pacific cod West Coast of Vancouver Island,1969,1.29,0.191
2812,Pacific cod West Coast of Vancouver Island,1970,1.6,0.199
2813,Pacific cod West Coast of Vancouver Island,1971,2.48,0.256
2814,Pacific cod West Coast of Vancouver Island,1972,2.48,0.277
2815,Pacific cod West Coast of Vancouver Island,1973,2.01,0.226
2816,Pacific cod West Coast of Vancouver Island,1974,2.81,0.229
2817,Pacific cod West Coast of Vancouver Island,1975,3.03,0.316
2818,Pacific cod West Coast of Vancouver Island,1976,2.66,0.318
2819,Pacific cod West Coast of Vancouver Island,1977,2.19,0.24
2820,Pacific cod West Coast of Vancouver Island,1978,1.81,0.119
2821,Pacific cod West Coast of Vancouver Island,1979,1.62,0.086
2822,Pacific cod West Coast of Vancouver Island,1980,1.4,0.099
2823,Pacific cod West Coast of Vancouver Island,1981,1.13,0.159
2824,Pacific cod West Coast of Vancouver Island,1982,0.829,0.149
2825,Pacific cod West Coast of Vancouver Island,1983,0.638,0.269
2826,Pacific cod West Coast of Vancouver Island,1984,0.491,0.191
2827,Pacific cod West Coast of Vancouver Island,1985,0.436,0.292
2828,Pacific cod West Coast of Vancouver Island,1986,0.811,0.133
2829,Pacific cod West Coast of Vancouver Island,1987,1.08,0.228
2830,Pacific cod West Coast of Vancouver Island,1988,2.5,0.268
2831,Pacific cod West Coast of Vancouver Island,1989,2.55,0.293
2832,Pacific cod West Coast of Vancouver Island,1990,1.9,0.261
2833,Pacific cod West Coast of Vancouver Island,1991,1.5,0.729
2834,Pacific cod West Coast of Vancouver Island,1992,0.938,0.575
2835,Pacific cod West Coast of Vancouver Island,1993,0.67,0.475
2836,Pacific cod West Coast of Vancouver Island,1994,0.477,0.518
2837,Pacific cod West Coast of Vancouver Island,1995,0.301,0.277
2838,Pacific cod West Coast of Vancouver Island,1996,0.271,0.25
2839,Pacific cod West Coast of Vancouver Island,1997,0.276,0.127
2840,Pacific cod West Coast of Vancouver Island,1998,0.293,0.056
2841,Pacific cod West Coast of Vancouver Island,1999,0.434,0.059
2842,Pacific cod West Coast of Vancouver Island,2000,0.522,0.059
2843,Pacific cod West Coast of Vancouver Island,2001,0.668,0.106
2862,Pacific Ocean perch Eastern Bering Sea and Aleutian Islands,1977,0.246,0.12
2863,Pacific Ocean perch Eastern Bering Sea and Aleutian Islands,1978,0.237,0.0897
2864,Pacific Ocean perch Eastern Bering Sea and Aleutian Islands,1979,0.232,0.0871
2865,Pacific Ocean perch Eastern Bering Sea and Aleutian Islands,1980,0.23,0.0584
2866,Pacific Ocean perch Eastern Bering Sea and Aleutian Islands,1981,0.233,0.0553
2867,Pacific Ocean perch Eastern Bering Sea and Aleutian Islands,1982,0.24,0.0124
2868,Pacific Ocean perch Eastern Bering Sea and Aleutian Islands,1983,0.262,0.00596
2869,Pacific Ocean perch Eastern Bering Sea and Aleutian Islands,1984,0.291,0.00715
2870,Pacific Ocean perch Eastern Bering Sea and Aleutian Islands,1985,0.331,0.0019
2871,Pacific Ocean perch Eastern Bering Sea and Aleutian Islands,1986,0.377,0.00574
2872,Pacific Ocean perch Eastern Bering Sea and Aleutian Islands,1987,0.433,0.0116
2873,Pacific Ocean perch Eastern Bering Sea and Aleutian Islands,1988,0.502,0.0169
2874,Pacific Ocean perch Eastern Bering Sea and Aleutian Islands,1989,0.568,0.0247
2875,Pacific Ocean perch Eastern Bering Sea and Aleutian Islands,1990,0.625,0.076
2876,Pacific Ocean perch Eastern Bering Sea and Aleutian Islands,1991,0.688,0.0301
2877,Pacific Ocean perch Eastern Bering Sea and Aleutian Islands,1992,0.767,0.0502
2878,Pacific Ocean perch Eastern Bering Sea and Aleutian Islands,1993,0.838,0.0565
2879,Pacific Ocean perch Eastern Bering Sea and Aleutian Islands,1994,0.908,0.0377
2880,Pacific Ocean perch Eastern Bering Sea and Aleutian Islands,1995,1.01,0.0321
2881,Pacific Ocean perch Eastern Bering Sea and Aleutian Islands,1996,1.1,0.0451
2882,Pacific Ocean perch Eastern Bering Sea and Aleutian Islands,1997,1.17,0.0362
2883,Pacific Ocean perch Eastern Bering Sea and Aleutian Islands,1998,1.24,0.0262
2884,Pacific Ocean perch Eastern Bering Sea and Aleutian Islands,1999,1.31,0.0315
2885,Pacific Ocean perch Eastern Bering Sea and Aleutian Islands,2000,1.35,0.0222
2886,Pacific Ocean perch Eastern Bering Sea and Aleutian Islands,2001,1.4,0.0212
2887,Pacific Ocean perch Eastern Bering Sea and Aleutian Islands,2002,1.43,0.0247
2888,Pacific Ocean perch Eastern Bering Sea and Aleutian Islands,2003,1.45,0.0315
2889,Pacific Ocean perch Eastern Bering Sea and Aleutian Islands,2004,1.47,0.0245
2890,Pacific Ocean perch Eastern Bering Sea and Aleutian Islands,2005,1.51,0.0207
2891,Pacific Ocean perch Eastern Bering Sea and Aleutian Islands,2006,1.55,0.0246
2892,Pacific Ocean perch Eastern Bering Sea and Aleutian Islands,2007,1.6,0.0345
2893,Pacific Ocean perch Eastern Bering Sea and Aleutian Islands,2008,1.62,0.0328
2894,Pacific Ocean perch Eastern Bering Sea and Aleutian Islands,2009,1.64,0.0289
2895,Pacific Ocean perch Eastern Bering Sea and Aleutian Islands,2010,1.66,0.0255
2899,Pacific ocean perch Gulf of Alaska,1961,2.13,0.0375
2900,Pacific ocean perch Gulf of Alaska,1962,2.39,0.124
2901,Pacific ocean perch Gulf of Alaska,1963,2.41,0.219
2902,Pacific ocean perch Gulf of Alaska,1964,2.28,0.414
2903,Pacific ocean perch Gulf of Alaska,1965,2.11,0.706
2904,Pacific ocean perch Gulf of Alaska,1966,1.49,0.469
2905,Pacific ocean perch Gulf of Alaska,1967,1.26,0.331
2906,Pacific ocean perch Gulf of Alaska,1968,1.19,0.326
2907,Pacific ocean perch Gulf of Alaska,1969,1.11,0.268
2908,Pacific ocean perch Gulf of Alaska,1970,1.04,0.177
2909,Pacific ocean perch Gulf of Alaska,1971,1.08,0.318
2910,Pacific ocean perch Gulf of Alaska,1972,0.961,0.351
2911,Pacific ocean perch Gulf of Alaska,1973,0.818,0.293
2912,Pacific ocean perch Gulf of Alaska,1974,0.724,0.315
2913,Pacific ocean perch Gulf of Alaska,1975,0.625,0.394
2914,Pacific ocean perch Gulf of Alaska,1976,0.493,0.482
2915,Pacific ocean perch Gulf of Alaska,1977,0.353,0.358
2916,Pacific ocean perch Gulf of Alaska,1978,0.296,0.15
2917,Pacific ocean perch Gulf of Alaska,1979,0.293,0.164
2918,Pacific ocean perch Gulf of Alaska,1980,0.284,0.233
2919,Pacific ocean perch Gulf of Alaska,1981,0.258,0.258
2920,Pacific ocean perch Gulf of Alaska,1982,0.23,0.142
2921,Pacific ocean perch Gulf of Alaska,1983,0.23,0.0702
2922,Pacific ocean perch Gulf of Alaska,1984,0.25,0.0602
2923,Pacific ocean perch Gulf of Alaska,1985,0.274,0.015
2924,Pacific ocean perch Gulf of Alaska,1986,0.311,0.036
2925,Pacific ocean perch Gulf of Alaska,1987,0.348,0.0674
2926,Pacific ocean perch Gulf of Alaska,1988,0.379,0.124
2927,Pacific ocean perch Gulf of Alaska,1989,0.39,0.172
2928,Pacific ocean perch Gulf of Alaska,1990,0.386,0.192
2929,Pacific ocean perch Gulf of Alaska,1991,0.38,0.0921
2930,Pacific ocean perch Gulf of Alaska,1992,0.406,0.0739
2931,Pacific ocean perch Gulf of Alaska,1993,0.486,0.0197
2932,Pacific ocean perch Gulf of Alaska,1994,0.588,0.0137
2933,Pacific ocean perch Gulf of Alaska,1995,0.709,0.0355
2934,Pacific ocean perch Gulf of Alaska,1996,0.83,0.0577
2935,Pacific ocean perch Gulf of Alaska,1997,0.944,0.0591
2936,Pacific ocean perch Gulf of Alaska,1998,1.04,0.0531
2937,Pacific ocean perch Gulf of Alaska,1999,1.11,0.0624
2938,Pacific ocean perch Gulf of Alaska,2000,1.15,0.0634
2939,Pacific ocean perch Gulf of Alaska,2001,1.17,0.0724
2940,Pacific ocean perch Gulf of Alaska,2002,1.19,0.0845
2941,Pacific ocean perch Gulf of Alaska,2003,1.2,0.0822
2942,Pacific ocean perch Gulf of Alaska,2004,1.21,0.0893
2943,Pacific ocean perch Gulf of Alaska,2005,1.23,0.0871
2944,Pacific ocean perch Gulf of Alaska,2006,1.28,0.103
2945,Pacific ocean perch Gulf of Alaska,2007,1.31,0.0948
2946,Pacific ocean perch Gulf of Alaska,2008,1.34,0.0875
2947,Pacific ocean perch Gulf of Alaska,2009,1.38,0.0873
2949,Pacific ocean perch Pacific Coast,1940,2.56,0
2950,Pacific ocean perch Pacific Coast,1941,2.55,0
2951,Pacific ocean perch Pacific Coast,1942,2.55,0
2952,Pacific ocean perch Pacific Coast,1943,2.55,0
2953,Pacific ocean perch Pacific Coast,1944,2.55,0
2954,Pacific ocean perch Pacific Coast,1945,2.54,0
2955,Pacific ocean perch Pacific Coast,1946,2.53,0
2956,Pacific ocean perch Pacific Coast,1947,2.52,0
2957,Pacific ocean perch Pacific Coast,1948,2.52,0
2958,Pacific ocean perch Pacific Coast,1949,2.51,0.01
2959,Pacific ocean perch Pacific Coast,1950,2.5,0.01
2960,Pacific ocean perch Pacific Coast,1951,2.48,0.01
2961,Pacific ocean perch Pacific Coast,1952,2.46,0.02
2962,Pacific ocean perch Pacific Coast,1953,2.41,0.02
2963,Pacific ocean perch Pacific Coast,1954,2.38,0.02
2964,Pacific ocean perch Pacific Coast,1955,2.33,0.02
2965,Pacific ocean perch Pacific Coast,1956,2.31,0.03
2966,Pacific ocean perch Pacific Coast,1957,2.27,0.03
2967,Pacific ocean perch Pacific Coast,1958,2.24,0.02
2968,Pacific ocean perch Pacific Coast,1959,2.24,0.01
2969,Pacific ocean perch Pacific Coast,1960,2.25,0.02
2970,Pacific ocean perch Pacific Coast,1961,2.24,0.03
2971,Pacific ocean perch Pacific Coast,1962,2.2,0.04
2972,Pacific ocean perch Pacific Coast,1963,2.13,0.06
2973,Pacific ocean perch Pacific Coast,1964,2.02,0.06
2974,Pacific ocean perch Pacific Coast,1965,1.91,0.08
2975,Pacific ocean perch Pacific Coast,1966,1.76,0.23
2976,Pacific ocean perch Pacific Coast,1967,1.37,0.23
2977,Pacific ocean perch Pacific Coast,1968,1.07,0.18
2978,Pacific ocean perch Pacific Coast,1969,0.902,0.05
2979,Pacific ocean perch Pacific Coast,1970,0.887,0.06
2980,Pacific ocean perch Pacific Coast,1971,0.859,0.05
2981,Pacific ocean perch Pacific Coast,1972,0.832,0.05
2982,Pacific ocean perch Pacific Coast,1973,0.805,0.07
2983,Pacific ocean perch Pacific Coast,1974,0.758,0.07
2984,Pacific ocean perch Pacific Coast,1975,0.727,0.04
2985,Pacific ocean perch Pacific Coast,1976,0.723,0.05
2986,Pacific ocean perch Pacific Coast,1977,0.715,0.05
2987,Pacific ocean perch Pacific Coast,1978,0.703,0.07
2988,Pacific ocean perch Pacific Coast,1979,0.668,0.06
2989,Pacific ocean perch Pacific Coast,1980,0.637,0.07
2990,Pacific ocean perch Pacific Coast,1981,0.594,0.05
2991,Pacific ocean perch Pacific Coast,1982,0.57,0.04
2992,Pacific ocean perch Pacific Coast,1983,0.559,0.06
2993,Pacific ocean perch Pacific Coast,1984,0.535,0.07
2994,Pacific ocean perch Pacific Coast,1985,0.512,0.06
2995,Pacific ocean perch Pacific Coast,1986,0.492,0.06
2996,Pacific ocean perch Pacific Coast,1987,0.473,0.05
2997,Pacific ocean perch Pacific Coast,1988,0.465,0.06
2998,Pacific ocean perch Pacific Coast,1989,0.445,0.07
2999,Pacific ocean perch Pacific Coast,1990,0.43,0.05
3000,Pacific ocean perch Pacific Coast,1991,0.418,0.07
3001,Pacific ocean perch Pacific Coast,1992,0.402,0.07
3002,Pacific ocean perch Pacific Coast,1993,0.384,0.07
3003,Pacific ocean perch Pacific Coast,1994,0.371,0.06
3004,Pacific ocean perch Pacific Coast,1995,0.363,0.05
3005,Pacific ocean perch Pacific Coast,1996,0.361,0.05
3006,Pacific ocean perch Pacific Coast,1997,0.359,0.04
3007,Pacific ocean perch Pacific Coast,1998,0.36,0.04
3008,Pacific ocean perch Pacific Coast,1999,0.358,0.03
3009,Pacific ocean perch Pacific Coast,2000,0.359,0.01
3010,Pacific ocean perch Pacific Coast,2001,0.368,0.02
3011,Pacific ocean perch Pacific Coast,2002,0.374,0.01
3012,Pacific ocean perch Pacific Coast,2003,0.383,0.01
3013,Pacific ocean perch Pacific Coast,2004,0.395,0.01
3014,Pacific ocean perch Pacific Coast,2005,0.406,0
3015,Pacific ocean perch Pacific Coast,2006,0.426,0
3016,Pacific ocean perch Pacific Coast,2007,0.449,0.01
3017,Pacific ocean perch Pacific Coast,2008,0.469,0.01
3018,Pacific ocean perch Pacific Coast,2009,0.48,0.01
3019,Pacific ocean perch Pacific Coast,2010,0.488,0.01
3024,Peruvian anchoveta North-Central Peru,1962,2.26,0.517
3025,Peruvian anchoveta North-Central Peru,1963,2.48,0.444
3026,Peruvian anchoveta North-Central Peru,1964,1.95,0.575
3027,Peruvian anchoveta North-Central Peru,1965,2.24,0.595
3028,Peruvian anchoveta North-Central Peru,1966,2.29,0.553
3029,Peruvian anchoveta North-Central Peru,1967,2.46,0.663
3030,Peruvian anchoveta North-Central Peru,1968,2.36,0.673
3031,Peruvian anchoveta North-Central Peru,1969,3.05,0.536
3032,Peruvian anchoveta North-Central Peru,1970,2.22,0.625
3033,Peruvian anchoveta North-Central Peru,1971,0.474,1.72
3034,Peruvian anchoveta North-Central Peru,1972,0.441,2.1
3035,Peruvian anchoveta North-Central Peru,1973,0.564,0.378
3036,Peruvian anchoveta North-Central Peru,1974,0.682,0.829
3037,Peruvian anchoveta North-Central Peru,1975,0.951,0.577
3038,Peruvian anchoveta North-Central Peru,1976,0.602,0.613
3039,Peruvian anchoveta North-Central Peru,1977,0.357,0.35
3040,Peruvian anchoveta North-Central Peru,1978,0.404,0.171
3041,Peruvian anchoveta North-Central Peru,1979,0.579,0.455
3042,Peruvian anchoveta North-Central Peru,1980,0.64,0.0553
3043,Peruvian anchoveta North-Central Peru,1981,0.47,0.055
3044,Peruvian anchoveta North-Central Peru,1982,0.268,0.575
3045,Peruvian anchoveta North-Central Peru,1983,0.428,0.149
3046,Peruvian anchoveta North-Central Peru,1984,0.966,0.00365
3047,Peruvian anchoveta North-Central Peru,1985,0.801,0.0906
3048,Peruvian anchoveta North-Central Peru,1986,0.245,1.52
3049,Peruvian anchoveta North-Central Peru,1987,0.315,1.25
3050,Peruvian anchoveta North-Central Peru,1988,0.504,0.384
3051,Peruvian anchoveta North-Central Peru,1989,0.575,1.15
3052,Peruvian anchoveta North-Central Peru,1990,0.66,0.672
3053,Peruvian anchoveta North-Central Peru,1991,0.707,0.583
3054,Peruvian anchoveta North-Central Peru,1992,0.627,0.84
3055,Peruvian anchoveta North-Central Peru,1993,0.881,1.38
3056,Peruvian anchoveta North-Central Peru,1994,1.06,1.1
3057,Peruvian anchoveta North-Central Peru,1995,0.797,1.08
3058,Peruvian anchoveta North-Central Peru,1996,0.811,1.08
3059,Peruvian anchoveta North-Central Peru,1997,0.561,1.78
3060,Peruvian anchoveta North-Central Peru,1998,0.509,0.171
3061,Peruvian anchoveta North-Central Peru,1999,0.976,0.633
3062,Peruvian anchoveta North-Central Peru,2000,1.58,0.979
3063,Peruvian anchoveta North-Central Peru,2001,1.33,1.14
3064,Peruvian anchoveta North-Central Peru,2002,1.34,0.611
3065,Peruvian anchoveta North-Central Peru,2003,1.12,0.726
3066,Peruvian anchoveta North-Central Peru,2004,1.5,0.789
3067,Peruvian anchoveta North-Central Peru,2005,1.56,0.752
3068,Peruvian anchoveta North-Central Peru,2006,0.991,1.17
3069,Peruvian anchoveta North-Central Peru,2007,1.36,0.615
3070,Peruvian anchoveta North-Central Peru,2008,1.47,0.588
3071,Petrale sole Pacific Coast,1930,3.99,NA
3072,Petrale sole Pacific Coast,1931,3.97,NA
3073,Petrale sole Pacific Coast,1932,3.95,NA
3074,Petrale sole Pacific Coast,1933,3.91,NA
3075,Petrale sole Pacific Coast,1934,3.88,NA
3076,Petrale sole Pacific Coast,1935,3.76,NA
3077,Petrale sole Pacific Coast,1936,3.66,NA
3078,Petrale sole Pacific Coast,1937,3.6,NA
3079,Petrale sole Pacific Coast,1938,3.48,NA
3080,Petrale sole Pacific Coast,1939,3.34,NA
3081,Petrale sole Pacific Coast,1940,3.2,NA
3082,Petrale sole Pacific Coast,1941,3.06,NA
3083,Petrale sole Pacific Coast,1942,2.96,NA
3084,Petrale sole Pacific Coast,1943,2.74,NA
3085,Petrale sole Pacific Coast,1944,2.53,NA
3086,Petrale sole Pacific Coast,1945,2.45,NA
3087,Petrale sole Pacific Coast,1946,2.42,NA
3088,Petrale sole Pacific Coast,1947,2.23,NA
3089,Petrale sole Pacific Coast,1948,2.11,NA
3090,Petrale sole Pacific Coast,1949,1.85,NA
3091,Petrale sole Pacific Coast,1950,1.62,NA
3092,Petrale sole Pacific Coast,1951,1.35,NA
3093,Petrale sole Pacific Coast,1952,1.27,NA
3094,Petrale sole Pacific Coast,1953,1.21,NA
3095,Petrale sole Pacific Coast,1954,1.21,NA
3096,Petrale sole Pacific Coast,1955,1.15,NA
3097,Petrale sole Pacific Coast,1956,1.07,NA
3098,Petrale sole Pacific Coast,1957,1.06,NA
3099,Petrale sole Pacific Coast,1958,0.992,NA
3100,Petrale sole Pacific Coast,1959,0.975,NA
3101,Petrale sole Pacific Coast,1960,0.949,NA
3102,Petrale sole Pacific Coast,1961,0.921,NA
3103,Petrale sole Pacific Coast,1962,0.833,NA
3104,Petrale sole Pacific Coast,1963,0.772,NA
3105,Petrale sole Pacific Coast,1964,0.709,NA
3106,Petrale sole Pacific Coast,1965,0.711,NA
3107,Petrale sole Pacific Coast,1966,0.733,NA
3108,Petrale sole Pacific Coast,1967,0.764,NA
3109,Petrale sole Pacific Coast,1968,0.76,NA
3110,Petrale sole Pacific Coast,1969,0.766,NA
3111,Petrale sole Pacific Coast,1970,0.798,NA
3112,Petrale sole Pacific Coast,1971,0.84,NA
3113,Petrale sole Pacific Coast,1972,0.943,NA
3114,Petrale sole Pacific Coast,1973,0.978,NA
3115,Petrale sole Pacific Coast,1974,1.01,NA
3116,Petrale sole Pacific Coast,1975,0.949,NA
3117,Petrale sole Pacific Coast,1976,0.86,NA
3118,Petrale sole Pacific Coast,1977,0.799,NA
3119,Petrale sole Pacific Coast,1978,0.759,NA
3120,Petrale sole Pacific Coast,1979,0.65,NA
3121,Petrale sole Pacific Coast,1980,0.524,NA
3122,Petrale sole Pacific Coast,1981,0.488,NA
3123,Petrale sole Pacific Coast,1982,0.505,NA
3124,Petrale sole Pacific Coast,1983,0.493,NA
3125,Petrale sole Pacific Coast,1984,0.446,NA
3126,Petrale sole Pacific Coast,1985,0.442,NA
3127,Petrale sole Pacific Coast,1986,0.452,NA
3128,Petrale sole Pacific Coast,1987,0.449,NA
3129,Petrale sole Pacific Coast,1988,0.395,NA
3130,Petrale sole Pacific Coast,1989,0.385,NA
3131,Petrale sole Pacific Coast,1990,0.39,NA
3132,Petrale sole Pacific Coast,1991,0.38,NA
3133,Petrale sole Pacific Coast,1992,0.315,NA
3134,Petrale sole Pacific Coast,1993,0.288,NA
3135,Petrale sole Pacific Coast,1994,0.298,NA
3136,Petrale sole Pacific Coast,1995,0.35,NA
3137,Petrale sole Pacific Coast,1996,0.399,NA
3138,Petrale sole Pacific Coast,1997,0.403,NA
3139,Petrale sole Pacific Coast,1998,0.377,NA
3140,Petrale sole Pacific Coast,1999,0.395,NA
3141,Petrale sole Pacific Coast,2000,0.441,NA
3142,Petrale sole Pacific Coast,2001,0.473,NA
3143,Petrale sole Pacific Coast,2002,0.504,NA
3144,Petrale sole Pacific Coast,2003,0.586,NA
3145,Petrale sole Pacific Coast,2004,0.739,NA
3146,Petrale sole Pacific Coast,2005,0.84,NA
3147,Petrale sole Pacific Coast,2006,0.819,NA
3148,Petrale sole Pacific Coast,2007,0.81,NA
3149,Petrale sole Pacific Coast,2008,0.752,NA
3150,Petrale sole Pacific Coast,2009,0.71,NA
3151,Petrale sole Pacific Coast,2010,0.665,NA
3152,Petrale sole Pacific Coast,2011,0.813,NA
3153,Red grouper South Atlantic,1976,0.983,0.419
3154,Red grouper South Atlantic,1977,0.86,0.402
3155,Red grouper South Atlantic,1978,0.757,0.429
3156,Red grouper South Atlantic,1979,0.664,0.442
3157,Red grouper South Atlantic,1980,0.569,0.432
3158,Red grouper South Atlantic,1981,0.492,0.319
3159,Red grouper South Atlantic,1982,0.491,0.465
3160,Red grouper South Atlantic,1983,0.467,0.775
3161,Red grouper South Atlantic,1984,0.369,1.11
3162,Red grouper South Atlantic,1985,0.269,0.736
3163,Red grouper South Atlantic,1986,0.27,0.902
3164,Red grouper South Atlantic,1987,0.266,0.78
3165,Red grouper South Atlantic,1988,0.264,0.649
3166,Red grouper South Atlantic,1989,0.27,0.708
3167,Red grouper South Atlantic,1990,0.237,0.375
3168,Red grouper South Atlantic,1991,0.256,0.256
3169,Red grouper South Atlantic,1992,0.315,0.336
3170,Red grouper South Atlantic,1993,0.347,0.612
3171,Red grouper South Atlantic,1994,0.353,0.413
3172,Red grouper South Atlantic,1995,0.414,0.387
3173,Red grouper South Atlantic,1996,0.499,0.474
3174,Red grouper South Atlantic,1997,0.523,0.446
3175,Red grouper South Atlantic,1998,0.51,0.431
3176,Red grouper South Atlantic,1999,0.496,0.287
